Lambda  loss
1.00936343203e-05      0.354701
1.01037128368e-05        0.3547
1.01137913534e-05        0.3547
1.01238698699e-05      0.354699
1.01339483865e-05      0.354699
1.0144026903e-05      0.354698
1.01541054196e-05      0.354698
9.83671088678e-06      -1.86186
9.84678432343e-06      -1.86447
9.85685776008e-06       -1.8668
9.86693119673e-06      -1.86905
9.87700463337e-06      -1.87082
9.88707807002e-06      -1.87344
9.89715150667e-06      -1.87559
9.90722494332e-06      -1.87785
9.91729837997e-06      -1.88018
9.92737181661e-06      -1.88249
9.93744525326e-06      -1.88504
9.94751868991e-06      -1.88704
9.95759212656e-06      -1.88941
9.96766556321e-06      -1.89164
9.97773899985e-06      -1.89343
9.9878124365e-06      -1.89577
9.99788587315e-06      -1.89834
1.00079593098e-05      0.354705
1.00180327464e-05      0.354705
1.00281061831e-05      0.354704
1.00381796197e-05      0.354704
1.00482530564e-05      0.354703
1.0058326493e-05      0.354703
1.00683999297e-05      0.354702
1.00784733663e-05      0.354702
1.0088546803e-05      0.354701
1.00986202396e-05      0.354701
1.01086936763e-05        0.3547
1.01187671129e-05        0.3547
1.01288405496e-05      0.354699
1.01389139862e-05      0.354699
1.01489874229e-05      0.354698
9.84166890638e-06      -1.86301
9.85174742037e-06      -1.86528
9.86182593435e-06        -1.868
9.87190444834e-06      -1.86972
9.88198296232e-06      -1.87226
9.89206147631e-06      -1.87484
9.90213999029e-06      -1.87691
9.91221850428e-06      -1.87878
9.92229701826e-06        -1.881
9.93237553225e-06      -1.88364
9.94245404623e-06      -1.88571
9.95253256022e-06      -1.88817
9.9626110742e-06       -1.8903
9.97268958819e-06      -1.89269
9.98276810217e-06      -1.89434
9.99284661616e-06      -1.89684
1.00029251301e-05      0.354705
1.00130036441e-05      0.354705
1.00230821581e-05      0.354704
1.00331606721e-05      0.354704
1.00432391861e-05      0.354703
1.00533177001e-05      0.354703
1.00633962141e-05      0.354702
1.0073474728e-05      0.354702
1.0083553242e-05      0.354701
1.0093631756e-05      0.354701
1.010371027e-05        0.3547
1.0113788784e-05        0.3547
1.0123867298e-05      0.354699
1.01339458119e-05      0.354699
1.01440243259e-05      0.354698
1.01541028399e-05      0.354698
9.83670838778e-06       -1.8622
9.84678182187e-06      -1.86454
9.85685525596e-06      -1.86654
9.86692869005e-06      -1.86903
9.87700212414e-06        -1.871
9.88707555822e-06      -1.87343
9.89714899231e-06      -1.87601
9.9072224264e-06      -1.87756
9.91729586049e-06       -1.8801
9.92736929458e-06       -1.8822
9.93744272867e-06      -1.88466
9.94751616276e-06      -1.88669
9.95758959685e-06      -1.88909
9.96766303094e-06      -1.89172
9.97773646502e-06      -1.89342
9.98780989911e-06      -1.89601
9.9978833332e-06      -1.89874
1.00079567673e-05      0.354705
1.00180302014e-05      0.354705
1.00281036355e-05      0.354704
1.00381770696e-05      0.354704
1.00482505036e-05      0.354703
1.00583239377e-05      0.354703
1.00683973718e-05      0.354702
1.00784708059e-05      0.354702
1.008854424e-05      0.354701
1.00986176741e-05      0.354701
1.01086911082e-05        0.3547
1.01187645423e-05        0.3547
1.01288379764e-05      0.354699
1.01389114104e-05      0.354699
1.01489848445e-05      0.354698
9.84166640612e-06      -1.86284
9.85174491755e-06      -1.86581
9.86182342897e-06      -1.86773
